"ScanIndex","Family","DiagramIndex","Example03Group","Example03Topology","Example03GraphIndex","Example03PrimaryQ","PropagatorCount","TopologyName","RegionType","ZeroVars","RemainingVars","PreselectionZeroVars","PreselectionEffectivePropagatorCount","F0TermCount","ObstructionRecordQ","ValidObstructionTrialCount","CandidateGeneratorCount","GeneratorCount","GeneratorSetFactorCount","SearchMethod","CancellationFactorCount","CancellationFactorClassCounts","PolynomialCancellationFactorQ","SLSectorFactorCount","SLSectorFactorClassCounts","SLSectorAllBinomialQ","SLSectorPolynomialFactorQ","AcceptedScalingQ","ScalingVector","AcceptedScalingCount","ScalingStatus","HRFoundWithScalingQ"
"45","planar","302","other","","","False","8","planar:302","Interior","{}","{x0, x1, x2, x3, x4, x5, x6, x7}","{}","8","22","False","0","0","0","0","Missing[""NoObstructionData""]","2","<|""polynomial-10-term"" -> 1, ""polynomial-6-term"" -> 1|>","True","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
"46","planar","303","other","","","False","8","planar:303","Interior","{}","{x0, x1, x2, x3, x4, x5, x6, x7}","{x1, x4}","6","22","False","0","0","0","0","Missing[""NoObstructionData""]","2","<|""polynomial-10-term"" -> 1, ""polynomial-6-term"" -> 1|>","True","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
"47","planar","305","other","","","False","8","planar:305","Interior","{}","{x0, x1, x2, x3, x4, x5, x6, x7}","{x3, x4}","6","18","False","0","0","0","0","Missing[""NoObstructionData""]","4","<|""polynomial-9-term"" -> 1, ""binomial"" -> 1, ""polynomial-8-term"" -> 1, ""polynomial-10-term"" -> 1|>","True","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
"48","planar","306","other","","","False","8","planar:306","Interior","{}","{x0, x1, x2, x3, x4, x5, x6, x7}","{x3, x4}","6","23","False","0","0","0","0","Missing[""NoObstructionData""]","4","<|""polynomial-10-term"" -> 4|>","True","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
"49","planar","311","other","","","False","8","planar:311","Interior","{}","{x0, x1, x2, x3, x4, x5, x6, x7}","{x0, x3, x4}","5","23","False","0","0","0","0","Missing[""NoObstructionData""]","4","<|""polynomial-10-term"" -> 4|>","True","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
"50","planar","312","other","","","False","8","planar:312","Interior","{}","{x0, x1, x2, x3, x4, x5, x6, x7}","{x1, x2, x4}","5","23","False","0","0","0","0","Missing[""NoObstructionData""]","2","<|""polynomial-10-term"" -> 1, ""polynomial-7-term"" -> 1|>","True","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
"51","nonplanar","6","other","","","False","6","nonplanar:6","Interior","{}","{x0, x1, x2, x3, x4, x5}","{}","6","6","False","1","1","0","0","Missing[""NoObstructionData""]","3","<|""polynomial-3-term"" -> 2, ""binomial"" -> 1|>","True","0","<||>","False","False","False","Missing[""NoHiddenRegionWithValidScaling""]","0","Missing[""NoHiddenRegionWithValidScaling""]","False"
"52","nonplanar","20","other","","","False","7","nonplanar:20","Interior","{}","{x0, x1, x2, x3, x4, x5, x6}","{x1, x3}","5","10","False","0","0","0","0","Missing[""NoObstructionData""]","2","<|""binomial"" -> 1, ""polynomial-5-term"" -> 1|>","True","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
"53","nonplanar","24","other","","","False","7","nonplanar:24","Interior","{}","{x0, x1, x2, x3, x4, x5, x6}","{x1, x2}","5","11","False","0","0","0","0","Missing[""NoObstructionData""]","1","<|""polynomial-5-term"" -> 1|>","True","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
"54","nonplanar","39","other","","","False","7","nonplanar:39","Interior","{}","{x0, x1, x2, x3, x4, x5, x6}","{x6}","6","10","False","1","1","0","0","Missing[""NoObstructionData""]","3","<|""polynomial-7-term"" -> 1, ""polynomial-3-term"" -> 1, ""binomial"" -> 1|>","True","0","<||>","False","False","False","Missing[""NoHiddenRegionWithValidScaling""]","0","Missing[""NoHiddenRegionWithValidScaling""]","False"
"55","nonplanar","44","other","","","False","7","nonplanar:44","Interior","{}","{x0, x1, x2, x3, x4, x5, x6}","{x6}","6","11","False","0","0","0","0","Missing[""NoObstructionData""]","1","<|""polynomial-4-term"" -> 1|>","True","0","<||>","False","False","False","Missing[""NotEvaluated""]","0","Missing[""NotEvaluated""]","False"
